event_id	kind	normal	deobf	disposition	fallback_evidence	reason
H023:h1.p.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H024:i0.x0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H025:j1.r.I():void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H026:j1.x1.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H027:l1.g.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H028:l3.e.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/l3/e.smali:2203-10088	shared coroutine; light branch calls mc.g.d at 6180
H029:l6.h0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H030:l6.i0.d(l6.i0, l6.z, int, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H031:m0.b.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H032:mc.a.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/mc/a.smali:223-976	held section movement loop
H033:mc.b.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/mc/b.smali:223-1022	held simultaneous movement loop
H034:mc.c.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/mc/c.smali:203-897	held flat/init movement loop
H035:p.h0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H036:s.d.d(s.l, s.g, long, fg.c, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H037:t0.y.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H038:tg.q.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H039:u.e1.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H040:u8.d.handleMessage(android.os.Message):boolean	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H041:ug.p0.k(ug.p0, ug.k, vf.c):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H042:ug.z0.a(ug.k, vf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H043:v1.j.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H044:v1.n.remove(java.lang.Object):boolean	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H045:v9.f.draw(android.graphics.Canvas):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H046:vg.n.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H047:w.b0.a(q2.i0, long, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H048:w.b0.c(q2.i0, long, a0.r2, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H049:w.b0.d(q2.i0, long, fg.c, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H050:w.e1.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H051:w.g0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H052:w.h0.x0(d0.u0, q2.m):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H053:w.r2.a(q2.i0, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H054:w.r2.b(q2.i0, boolean, q2.m, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H055:w.r2.h(q2.i0, q2.m, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H056:w.s2.c(q2.i0, q2.m, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H057:w.v2.a(b1.w, b1.h4, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H058:w.x.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H059:w.z.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H060:w2.g0.c(x1.p):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H061:x2.r.dispatchGenericMotionEvent(android.view.MotionEvent):boolean	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H062:y3.j.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H063:yb.c.b(xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H064:z1.d.b(xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H065:z5.v.b(y5.a0, y5.x, x1.p, x1.d, fg.c, fg.c, fg.c, fg.c, j1.r, int):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B001:work/jadx/sources/a5/e.java:200	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B002:work/jadx/sources/a9/a.java:2135	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B003:work/jadx/sources/a9/a.java:2598	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B004:work/jadx/sources/a9/a.java:2964	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B005:work/jadx/sources/ac/o.java:46	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B006:work/jadx/sources/androidx/recyclerview/widget/RecyclerView.java:725	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B007:work/jadx/sources/androidx/window/layout/adapter/sidecar/DistinctElementSidecarCallback.java:41	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B008:work/jadx/sources/b1/m.java:44	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B009:work/jadx/sources/b1/ta.java:50	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B010:work/jadx/sources/b1/z.java:810	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B011:work/jadx/sources/b7/h.java:173	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B012:work/jadx/sources/c0/r.java:158	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B013:work/jadx/sources/c2/d.java:536	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B014:work/jadx/sources/cd/i0.java:25	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/cd/i0.smali:47-353	automatic-drive preference persistence; no direct GATT write
B015:work/jadx/sources/cd/l.java:61	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/cd/l.smali:106-942	automatic-drive setting caller; invokes fe.f.C at 631
B016:work/jadx/sources/cd/v.java:66	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/cd/v.smali:139-780	rename caller; invokes fe.f.E at 495/681/733
B017:work/jadx/sources/com/google/android/gms/internal/measurement/d.java:230	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B018:work/jadx/sources/com/google/android/gms/internal/measurement/h0.java:28	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B019:work/jadx/sources/com/google/android/gms/measurement/internal/AppMeasurementDynamiteService.java:744	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B020:work/jadx/sources/com/google/android/material/bottomsheet/BottomSheetBehavior.java:323	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B021:work/jadx/sources/com/google/android/material/sidesheet/SideSheetBehavior.java:417	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B022:work/jadx/sources/d1/i1.java:209	BAD_CODE_MARKER	yes	yes	APP_UNRELATED_PROVEN	work/smali/com.linak.linakbed.ble.memory/smali/d1/i1.smali:1161-1344	failed private y is a flow adapter; timer caller is separate decompiled r at 3759-10154
B023:work/jadx/sources/d3/c.java:70	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B024:work/jadx/sources/d5/a.java:3707	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B025:work/jadx/sources/e0/b0.java:335	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B026:work/jadx/sources/f1/b.java:133	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B027:work/jadx/sources/f5/c1.java:39	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B028:work/jadx/sources/f5/g1.java:50	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B029:work/jadx/sources/f5/x.java:69	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B030:work/jadx/sources/f5/y.java:312	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B031:work/jadx/sources/f5/y.java:381	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B032:work/jadx/sources/fe/f.java:439	BAD_CODE_MARKER	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/fe/f.smali:3764-4030	device-name write builder fe.f.E
B033:work/jadx/sources/gd/l.java:63	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/gd/l.smali:126-767	rename caller; invokes fe.f.E at 482/668/720
